patch_id,label,loss_percentage,tree_cover_percentage,loss_year,gain_percentage
patch_000000,1,0.6437,93.49,2024,0.0
patch_000007,0,0.0,65.84,0,0.0
patch_000008,0,0.0,84.71,0,0.0
patch_000009,0,0.0,86.23,0,0.0
patch_000010,1,0.1252,57.49,2010,0.0
patch_000014,1,0.143,75.73,2013,0.0
patch_000020,1,32.6296,97.79,2020,0.0
patch_000021,1,2.7782,96.61,2021,0.0
patch_000022,1,0.567,97.07,2021,0.0
patch_000023,1,0.2533,80.63,2004,0.0
patch_000028,1,43.825,96.14,2023,0.0
patch_000029,1,3.8849,99.89,2025,0.0
patch_000030,0,0.0,99.87,0,0.0
patch_000031,0,0.0,99.92,0,0.0
patch_000032,0,0.0,99.33,0,0.0
patch_000033,0,0.0,99.78,0,0.0
patch_000034,0,0.0,99.89,0,0.0
patch_000035,0,0.0,99.75,0,0.0
patch_000036,0,0.0,98.92,0,0.0
patch_000037,0,0.0,99.96,0,0.0
patch_000038,0,0.0,99.95,0,0.0
patch_000039,1,0.4052,77.07,2025,0.0
patch_000040,1,0.1609,60.17,2007,0.0
patch_000041,1,0.1923,72.37,2001,0.0
patch_000042,1,8.025,84.58,2025,0.0
patch_000043,1,4.2346,76.46,2025,0.0
patch_000044,1,3.3471,88.18,2003,0.0
patch_000046,1,13.2081,53.24,2004,0.0
patch_000047,1,21.8762,68.75,2023,0.0
patch_000048,1,8.992,99.66,2025,0.0
patch_000049,1,6.763,90.73,2024,0.0
patch_000051,1,8.0453,73.78,2024,0.0
patch_000052,1,9.533,89.76,2024,0.0
patch_000053,1,7.1896,88.93,2024,0.0
patch_000054,1,6.8369,74.92,2024,0.0
patch_000055,1,4.6906,49.6,2024,0.0
patch_000057,1,11.096,67.22,2023,0.0
patch_000058,1,2.7445,61.03,2024,0.0
patch_000059,1,0.2622,59.31,2010,0.0
patch_000060,1,0.0477,63.87,2002,0.0
patch_000061,1,0.3337,58.64,2012,0.0
patch_000062,1,0.2384,81.54,2012,0.0
patch_000063,1,0.0477,97.91,2006,0.0
patch_000064,1,0.0238,94.58,2010,0.0
patch_000065,1,0.0238,91.95,2001,0.0
patch_000066,1,0.4052,95.39,2010,0.0
patch_000067,1,0.1669,96.72,2004,0.0
patch_000068,1,0.5244,97.83,2004,0.0
patch_000069,1,0.7528,98.96,2004,0.0
patch_000070,1,0.0646,99.71,2001,0.0
patch_000071,0,0.0,99.85,0,0.0
patch_000072,0,0.0,99.82,0,0.0
patch_000073,0,0.0,99.73,0,0.0
patch_000074,0,0.0,98.93,0,0.0
patch_000075,1,35.3022,98.31,2002,2.4311
patch_000078,1,49.4141,83.44,2005,0.143
patch_000079,1,41.2124,85.51,2004,0.286
patch_000080,1,30.1757,90.62,2004,0.1907
patch_000081,1,2.9206,83.95,2005,0.0
patch_000084,1,55.6974,56.51,2006,3.0704
patch_000086,1,33.7648,66.7,2007,0.0
patch_000087,1,30.388,68.12,2018,0.2622
patch_000088,1,17.1088,76.79,2001,0.0715
patch_000090,1,46.4081,82.34,2001,0.7866
patch_000092,1,7.8183,84.5,2006,0.1701
patch_000093,1,4.7644,99.39,2025,0.0
patch_000094,1,1.8086,99.06,2025,0.0
patch_000095,1,0.2145,98.72,2021,0.0
patch_000096,1,6.3679,98.26,2008,0.0
patch_000097,1,19.8183,96.23,2002,0.0208
patch_000098,1,4.0602,97.45,2006,0.0
patch_000099,1,0.1192,98.19,2022,0.0
patch_000100,1,0.0477,99.01,2012,0.0
patch_000101,1,0.1358,99.1,2014,0.0
patch_000102,1,24.377,94.47,2003,0.0953
patch_000103,1,41.6354,96.4,2003,0.0477
patch_000104,1,55.4676,79.54,2005,0.0
patch_000105,1,76.9756,85.92,2011,0.0
patch_000106,1,66.7579,82.31,2004,0.0
patch_000108,1,48.6091,82.96,2004,0.0
patch_000109,1,52.2923,97.34,2006,0.0
patch_000110,1,32.4212,98.04,2018,0.1192
patch_000111,1,9.8158,98.51,2007,0.0238
patch_000112,1,38.9491,98.27,2006,2.2986
patch_000113,1,22.1032,76.62,2014,1.9084
patch_000114,1,6.1956,60.01,2015,0.4052
patch_000115,1,8.0286,80.42,2005,1.025
patch_000116,1,3.2498,97.36,2006,0.0
patch_000117,1,1.8317,96.45,2006,0.0507
patch_000118,1,0.0238,97.65,2012,0.0
patch_000119,0,0.0,94.55,0,0.0
patch_000121,1,0.4141,88.27,2005,0.0238
patch_000122,1,1.5976,84.21,2011,0.9296
patch_000123,1,16.4146,57.18,2011,0.4768
patch_000126,1,0.2144,99.15,2019,0.0
